,Artists Name,Artist ID,Track Name,Track ID,Release Date,Popularity,Danceability,Energy
40,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,"thank u, next",3e9HZxeyfWwjeyPAMmWSSQ,2019-02-08,94,0.717,0.653
41,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,listen before i go,0tMSssfxAL2oV8Vri0mFHE,2019-03-29,85,0.364,0.0549
42,5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy,Youngblood,2iUXsYOEPhVqEBwsqP70rE,2018-06-15,87,0.596,0.854
43,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,SICKO MODE,2xLMifQCjDGFmkHkpNLD9h,2018-08-03,93,0.834,0.73
44,Drax Project,6S0IvKlvPMX1RtAYtVpUV8,Woke Up Late (feat. Hailee Steinfeld),3qLBz3j26AHO2jBYUQWLA6,2019-01-21,80,0.698,0.66
45,P!nk,1KCSPY1glIKqW2TotWuXOR,Walk Me Home,7DHApOHsIFo7EyfieArYGE,2019-02-20,89,0.652,0.453
46,Cardi B,4kYSro6naA4h99UJvo89HB,Please Me,0PG9fbaaHFHfre2gUVo7AN,2019-02-15,93,0.747,0.57
47,Meek Mill,20sxb77xiYeusSH8cVdatc,Going Bad (feat. Drake),2IRZnDFmlqMuOrYOLnZZyc,2018-11-30,95,0.889,0.496
48,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,8,6X29iaaazwho3ab7GNue5r,2019-03-29,85,0.753,0.237
49,Calvin Harris,7CajNmpbOovFoOoasH2HaY,Giant (with Rag'n'Bone Man),5itOtNx0WxtJmi1TQ3RuRd,2019-01-11,94,0.807,0.887
