,Artists Name,Artist ID,Track Name,Track ID,Release Date,Popularity,Danceability,Energy
34,Kevin Roldan,1RBzGO6Nm3uyhUSxP7EDWO,PPP,1DcxnVNFAyVl2sDQ646pXS,2018-09-07,84,0.786,0.65
35,Modo Diablo,0ulX41eWF9mhfeAhOu4EU0,"TRAP.N.EXPORT (feat. Duki, Ysy A & Neo Pistea)",3aozFlnbP7zhcJKi9O0FUz,2019-02-08,73,0.82,0.741
36,Luis Fonsi,4V8Sr092TqfHkfAA5fXXqG,Imposible,4cuGZb0iFyHtwaSKdKrJkF,2019-02-01,76,0.783,0.738
37,Wisin & Yandel,1wZtkThiXbVNtj6hee6dz9,Aullando,7BuHdm4lQqcyG3qTwdkxus,2018-12-14,88,0.8,0.74
38,Various Artists,0LyfQWJT6nXafLPZqxe9Of,Bubalu,7dNwJbsT0sg1le5kVugGJb,2018-11-06,88,0.8,0.355
39,Seven Kayne,4C29ETLBPmYKYwtJUepbJz,"Buenos Aires (feat. Khea, Bhavi)",42NACeANuRucHuCOFL5umq,2019-03-22,68,0.702,0.586
40,Reik,0vR2qb8m9WHeZ5ByCbimq2,Amigos Con Derechos,2zDj4WjbNDmrRL6Z4YjjCA,2018-08-31,85,0.686,0.807
41,MDBCrew,3RVVeR7wEJO13rQFuLd8Qo,Money,4zTYhNBl52voAdVMfdKXty,2019-04-01,13,0.755,0.478
42,Sebastian Yatra,07YUOmWljBTXwIseAUd9TW,Ya No Tiene Novio,7uQmJ1jgNzBpATSoWKSPFu,2018-08-10,86,0.632,0.832
43,Bad Bunny,4q3ewBCX7sLwd24euuV69X,NI BIEN NI MAL,278kSqsZIiYp8p3QjYAqa8,2018-12-23,88,0.826,0.449
44,Rauw Alejandro,1mcTU81TzQhprhouKaTkpq,Que Le De,08aYFNUTIOMGq93e2VSArQ,2019-01-25,85,0.77,0.75
45,Lit Killah,1vqR17Iv8VFdzure1TAXEq,Tan Bien (feat. Agus Padilla),43Q1jBoHh3pQkh3Oy7TA1g,2018-11-29,73,0.784,0.761
46,Lunay,47MpMsUfWtgyIIBEFOr4FE,Soltera,4T4CZ3Q4z3GG7lU720YYhM,2019-02-21,87,0.778,0.731
47,ChocQuibTown,6tkyhGe9hGI3Lcfo4gVh6Z,Pa Olvidarte (feat. Manuel Turizo) - Remix,2ktoFujjJtantyMoVdBJlX,2019-02-01,87,0.724,0.791
48,6ix9ine,7gZfnEnfiaHzxARJ2LeXrf,BEBE (feat. Anuel Aa),4KkUjFkcQvGvWekl8RATDn,2018-11-27,86,0.635,0.902
49,Sean Paul,3Isy6kedDrgPYoTS1dazA9,Contra La Pared,3JjaofJ0lCeEsFSZqppzOp,2019-03-14,71,0.828,0.588
