,Artists Name,Artist ID,Track Name,Track ID,Release Date,Popularity,Danceability,Energy
39,Panic! At The Disco,20JZFwl6HVl6yg8a4H3ZqK,High Hopes,1rqqCSm0Qe4I9rUvWncaom,2018-06-22,94,0.579,0.904
40,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,ilomilo,7qEKqBCD2vE5vIBsrUitpD,2019-03-29,86,0.86,0.425
41,Alec Benjamin,5IH6FPUwQTxPSXurCrcIov,Let Me Down Slowly,2qxmye6gAegTMjLKEBoR3d,2018-11-16,94,0.652,0.557
42,Dave,6Ip8FS7vWT1uKkJSweANQK,Streatham,59PUOc7B0WCNNx8Nr4qaA4,2019-03-08,77,0.892,0.621
43,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,"thank u, next",3e9HZxeyfWwjeyPAMmWSSQ,2019-02-08,94,0.717,0.653
44,Marshmello,64KEffDW9EtZ1y2vBYgq8T,Happier,2dpaYNEQHiRxtZbfNsse99,2018-08-17,96,0.687,0.792
45,J. Cole,6l3HvQ5sa6mXTsMTB19rO5,MIDDLE CHILD,2JvzF1RMd7lE3KmFlsyZD8,2019-01-23,96,0.837,0.364
46,George Ezra,2ysnwxxNtSgbb9t1m2Ur4j,Shotgun,4ofwffwvvnbSkrMSCKQDaC,2018-03-23,87,0.672,0.735
47,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,i love you,6CcJMwBtXByIz4zQLzFkKc,2019-03-29,86,0.423,0.123
48,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,listen before i go,0tMSssfxAL2oV8Vri0mFHE,2019-03-29,85,0.364,0.0549
49,Cadet,1Gm0kKaDx4GH6pQF88rjSK,Advice,1fp2uoWXPca3mIdxRHIgQm,2018-09-14,77,0.911,0.529
