,Artists Name,Artist ID,Track Name,Track ID,Release Date,Popularity,Danceability,Energy
37,Melim,6uYrXgVHctAJtIdSODcyLJ,Meu Abrigo,5U28PY9MekLyCBYtLHGQpe,2018-06-08,78,0.658,0.572
38,Gloria Groove,7rXMvXRnWHaSwnVvPeUUfw,Coisa Boa,4SBQSroThFQ98U29IwnJ2g,2019-01-10,78,0.692,0.973
39,Lexa,0jTDeBJQr3unrK29LklnAv,Provocar,28SWsF1IQxfc9bP5yua35K,2018-11-22,77,0.682,0.826
40,Lexa,0jTDeBJQr3unrK29LklnAv,Só Depois do Carnaval,6HtVFR6WAeJRgYtleNcEE8,2019-01-31,78,0.833,0.917
41,Lexa,0jTDeBJQr3unrK29LklnAv,Sapequinha,7LPR6AdkOQR9WpEixCGNCk,2018-08-03,78,0.677,0.984
42,MC L da Vinte,0lHB0Qc4pmD5RkTLlHeESo,Parado no Bailão,3Hb9kUdm4yf839Fle4RIdT,2018-07-23,82,0.828,0.599
43,Henrique & Juliano,3p7PcrEHaaKLJnPUGOtRlT,"Quem Pegou, Pegou",0kCqaybZgYcLYxzZymmBoc,2018-08-20,80,0.699,0.682
44,IZA,3zgnrYIltMkgeejmvMCnes,Dona de mim,0H8CBal2Dcu5Yc001VotZN,2018-04-27,68,0.412,0.809
45,MC Kevin o Chris,2UMj7NCbuqy1yUZmiSYGjJ,Medley da Gaiola - Dennis DJ Remix,7rLegaz7zKB6EtDNzcslKE,2018-08-27,79,0.897,0.757
46,Maiara & Maraisa,59jlthNnbmim5l9tmNA7se,Não Abro Mão - Ao Vivo,3L2uyIJoJPjYkSETVNSPBQ,2019-01-30,75,0.615,0.499
47,Mc Don Juan,7Lmrb6KcIzfkmgbtokjsAL,To Gostando Tanto de Você,4HTrlT5mmxPaZZKs4JSPeI,2018-09-14,77,0.869,0.681
48,Marshmello,64KEffDW9EtZ1y2vBYgq8T,Happier,2dpaYNEQHiRxtZbfNsse99,2018-08-17,96,0.687,0.792
49,BLACKPINK,41MozSoPIsD1dJM0CLPjZF,Kill This Love,3VHrwffnUZFb7FidvPV3OA,2019-04-04,0,0.738,0.861
