,Artists Name,Artist ID,Track Name,Track ID,Release Date,Popularity,Danceability,Energy
39,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,"thank u, next",3e9HZxeyfWwjeyPAMmWSSQ,2019-02-08,94,0.717,0.653
40,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,MONOPOLY (with Victoria Monét),6tsOcBnaKgzK22yEiqRh8P,2019-04-01,80,0.892,0.507
41,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,ilomilo,7qEKqBCD2vE5vIBsrUitpD,2019-03-29,86,0.86,0.425
42,Mabel,1MIVXf74SZHmTIp4V4paH4,Don't Call Me Up,5WHTFyqSii0lmT9R21abT8,2019-01-18,94,0.674,0.881
43,Anne-Marie,1zNqDE7qDGCsyzJwohVaoX,2002,2BgEsaKNfHUdlh97KmvFyo,2018-04-27,86,0.697,0.683
44,Post Malone,246dkjvS1zLTtiykXe5h60,rockstar (feat. 21 Savage),0e7ipj03S05BNilyu5bRzt,2018-04-27,91,0.587,0.535
45,Calvin Harris,7CajNmpbOovFoOoasH2HaY,Giant (with Rag'n'Bone Man),5itOtNx0WxtJmi1TQ3RuRd,2019-01-11,94,0.807,0.887
46,Loud Luxury,6t1gpxYbY8OlLA7D2RiikQ,Body (feat. brando),7K7MUBCnzgBAvMVW2RTWNs,2017-10-27,69,0.752,0.764
47,Dean Lewis,3QSQFmccmX81fWCUSPTS7y,Be Alright,2H4gf1wLxvYreMj1jcaN0k,2019-03-22,71,0.551,0.537
48,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,i love you,6CcJMwBtXByIz4zQLzFkKc,2019-03-29,86,0.423,0.123
49,Cardi B,4kYSro6naA4h99UJvo89HB,Please Me,0PG9fbaaHFHfre2gUVo7AN,2019-02-15,93,0.747,0.57
