,ID,Artists Name,Artist ID,Track Name,Track ID,Release Date,Popularity,Danceability,Energy
38,0,Calboy,0HkcYmcjrBR3SCw9Ld5VZk,Envy Me,05t7JMip6JrLuSrMV5yYjX,2018-12-13,87,0.556,0.481
39,0,Jonas Brothers,7gOdHgIoIKoe4i9Tta6qdD,Cool,3QmolSZqjjLksTUvZJ6pPS,2019-04-05,72,0.65,0.619
40,0,Halsey,26VFTg2z8YR0cCuwLzESi2,Without Me,5p7ujcrUXASCNwRaWNHR1C,2018-10-04,96,0.752,0.488
41,0,Khalid,6LuN9FCkKOj5PcnpouEgny,Bad Luck,2vsuel3g4zaLYSOY0mOMbi,2019-04-05,72,0.432,0.52
42,0,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,"thank u, next",3e9HZxeyfWwjeyPAMmWSSQ,2019-02-08,94,0.717,0.653
43,0,Juice WRLD,4MCBfE4596Uoi2O4DtmEMz,Lucid Dreams,285pBltuF7vW8TeWk8hdRR,2018-12-10,91,0.511,0.566
44,0,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,lovely,1NJcg626wLln4pGHpiV7mf,2017-08-11,67,0.351,0.296
45,0,Khalid,6LuN9FCkKOj5PcnpouEgny,Right Back,5A1w94uzc1kO1Zhe8WWxC3,2019-04-05,71,0.789,0.427
46,0,Sheck Wes,2RDOrhPqAM4jzTRCEb19qX,Mo Bamba,1xzBco0xcoJEDXktl7Jxrr,2018-10-05,90,0.729,0.625
47,0,Alec Benjamin,5IH6FPUwQTxPSXurCrcIov,Let Me Down Slowly,2qxmye6gAegTMjLKEBoR3d,2018-11-16,94,0.652,0.557
48,0,Marshmello,64KEffDW9EtZ1y2vBYgq8T,Here With Me,5icOoE6VgqFKohjWWNp0Ac,2019-03-08,93,0.791,0.565
49,0,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,i love you,6CcJMwBtXByIz4zQLzFkKc,2019-03-29,87,0.423,0.123
